id,address,locality,available_bikes,free_slots,total_slots,status,latitude,longitude,last_update,occupancy_rate,utilization_rate
urn:ngsi-ld:station:001,Rue Jules Ferry - Gare Saint-Roch,Montpellier,3,9,12,working,43.605366,3.881346,2026-06-26T23:18:13.000Z,0.25,0.25
urn:ngsi-ld:station:002,Comédie,Montpellier,7,11,20,working,43.608148,3.878778,2026-06-26T23:18:13.000Z,0.35,0.45
urn:ngsi-ld:station:004,Hôtel de Ville,Montpellier,4,12,16,working,43.599088,3.894866,2026-06-26T23:18:13.000Z,0.25,0.25
urn:ngsi-ld:station:005,Corum,Montpellier,3,8,12,working,43.613989,3.8816,2026-06-26T23:18:13.000Z,0.25,0.3333333333333333
urn:ngsi-ld:station:006,Place Albert 1er - St Charles,Montpellier,14,12,27,working,43.616768,3.873375,2026-06-26T23:18:13.000Z,0.5185185185185185,0.5555555555555556
urn:ngsi-ld:station:007,Foch,Montpellier,4,4,8,working,43.610989,3.873345,2026-06-26T23:18:13.000Z,0.5,0.5
urn:ngsi-ld:station:008,Halles Castellane,Montpellier,0,12,12,working,43.609935,3.877208,2025-11-17T14:20:08.000Z,0.0,0.0
urn:ngsi-ld:station:009,Observatoire,Montpellier,5,1,8,working,43.606301,3.87724,2026-06-26T23:18:13.000Z,0.625,0.875
urn:ngsi-ld:station:010,Rondelet,Montpellier,8,7,16,working,43.603038,3.875796,2026-06-26T23:18:13.000Z,0.5,0.5625
urn:ngsi-ld:station:011,Plan Cabanes,Montpellier,8,4,12,working,43.608491,3.868389,2026-06-26T23:18:13.000Z,0.6666666666666666,0.6666666666666666
urn:ngsi-ld:station:012,Boutonnet,Montpellier,5,7,12,working,43.622629,3.868375,2026-06-26T23:18:13.000Z,0.4166666666666667,0.4166666666666667
urn:ngsi-ld:station:013,Emile Combes,Montpellier,4,4,8,working,43.616742,3.87998,2026-06-26T23:18:13.000Z,0.5,0.5
urn:ngsi-ld:station:014,Beaux-Arts,Montpellier,5,11,16,working,43.616698,3.884981,2026-06-26T23:18:13.000Z,0.3125,0.3125
urn:ngsi-ld:station:015,Les Aubes,Montpellier,3,5,8,working,43.618692,3.893844,2026-06-26T23:18:13.000Z,0.375,0.375
urn:ngsi-ld:station:016,Antigone centre,Montpellier,5,7,12,working,43.607942,3.890634,2026-06-26T23:18:13.000Z,0.4166666666666667,0.4166666666666667
urn:ngsi-ld:station:017,Médiathèque Emile Zola,Montpellier,8,8,16,working,43.608218,3.89314,2026-06-26T23:18:13.000Z,0.5,0.5
urn:ngsi-ld:station:018,Nombre d Or,Montpellier,6,10,16,working,43.607859,3.886644,2026-06-26T23:18:13.000Z,0.375,0.375
urn:ngsi-ld:station:019,Louis Blanc,Montpellier,4,12,16,working,43.614642,3.877648,2026-06-26T23:18:13.000Z,0.25,0.25
urn:ngsi-ld:station:020,Gambetta,Montpellier,1,7,8,working,43.607106,3.870693,2026-06-26T23:18:13.000Z,0.125,0.125
urn:ngsi-ld:station:021,Port Marianne,Montpellier,15,1,16,working,43.60032,3.89851,2026-06-26T23:18:13.000Z,0.9375,0.9375
